site_id	lat	lon
LTLASHER01	42.159465	-92.904130
SUGARCR01	40.784478	-91.571362
WFLTLSIOUX01	42.492951	-96.075634
ELKRN01	42.498051	-92.252549
LTLSIOUX03	43.184268	-95.191472
HOOSRCR01	41.8715	-91.5882
EFDSMNS01	42.951322	-94.2335
COONCR01	42.191457	-92.455621
NONIONCR02	42.080947	-93.796038
SQWCR03	42.123027	-93.715057
BEVRCRK02	42.4553	-93.2233
FLOYDRV01	42.80027	-96.174569
WNBGORV04	43.263058	-93.418067
TIPTNCR01	42.314	-93.232
IOWARV01	41.554742	-91.518943
FLOYDRV02	43.185438	-95.868443
ENISH04	41.5117	-94.9359
CEDARRV03	42.84742	-92.52211
SFIOWA02	42.4527	-93.3846
UIWARV01	43.34	-91.8339
FOURMLE03	41.769758	-93.589724
CLRCRKW01	41.7166	-91.8907
INDIAN01	41.016893	-95.396478
TRBLSM01	41.4611	-94.8872
WNBGORV06	43.342286	-93.630953
DEERCR01	41.6807	-91.6373
PRICECR02	41.845468	-91.947936
LTLCEDAR01	42.957907	-92.518955
SQWCR07	42.267459	-93.892888
ENISH03	41.145514	-95.176348
FOURMLE02	41.6584	-93.5457
BIGCRK7T01	41.994193	-93.783069
MDCRK01	41.0986	-95.517
WNBGORV01	43.121176	-93.1227
LTLWLNT01	41.633309	-93.833329
CLRCRK02	41.714222	-91.77911
LTLWAPSI01	43.112665	-92.40527
SHLRK04	43.166203	-93.038048
RAVENCR01	41.9646	-92.6702
BIGCRK07	42.008386	-93.819569
MDDLRCCN02	41.875301	-94.669845
LTLCEDAR02	43.226619	-92.677493
CHQSTCR01	40.772143	-92.092274
ENISH02	40.915696	-95.275368
RBRTSCR01	42.8741	-91.3827
SENGLSH01	41.4938	-91.9439
DRNGDTCH01	42.577661	-92.847178
GLACIAL01	42.192334	-93.776244
DRYCRK02	42.0947	-91.6381
WLLWCR-IC01	41.640307	-91.560788
TALYNNS01	42.18582	-93.757049
GLBRTCR01	42.096392	-93.659041
CLRCRK03	41.730501	-91.907046
SONIONTR01	42.040508	-93.776433
CEDARRV04	43.355409	-92.925178
OTTRCRK04	42.947141	-91.794949
OTTRCRK01	42.9564	-91.6266
KEGCR01	41.138551	-95.704489
MRGNCR01	41.9954	-91.7561
INDCR02	41.994834	-91.617753
WLLWCR02	43.155786	-93.220835
LTLSOAP01	40.900895	-92.333087
BIGCRK3T01	41.907037	-93.750408
SQWCR05	42.227029	-93.815652
BIGCRK05	41.965091	-93.770412
CHSLSCR01	43.133826	-93.226035
BEAVER01	43.066578	-92.528143
VLGARV01	42.8015	-91.5372
LTLSIOUX02	43.136752	-95.144196
WNBGORV03	43.220065	-93.299808
INDCR04	42.093797	-91.560844
LTLTKY01	43.0089	-91.8694
NBRCRKD01	42.263424	-93.815699
DUCKCR01	41.549912	-90.551328
WNISH01	41.146319	-95.441864
CEDARRV05	43.499606	-93.001956
INDCR01	41.976434	-91.57812
DRYCR02	42.0217	-91.8535
SKKMCHCK01	46.7722	-122.9236
CLRCRKS01	41.701175	-91.857469
MAPLERV02	42.503756	-95.431959
